39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,2,0
0,0,40,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0
0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,0,0,21,1,6,0,0,0,1,1,1,1,4,0,0,0
0,0,0,2,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,28,0,0,0,0,2,2,0,2,0,0,0
0,0,0,2,0,0,1,0,55,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0
0,1,0,0,0,2,0,2,0,0,1,1,0,26,2,3,0,1,2
0,1,0,0,0,1,0,0,0,1,0,0,0,0,8,2,0,2,0
0,1,4,0,1,4,0,3,0,1,0,0,1,10,2,22,3,0,1
0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,24,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,28,0
0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,24
