true_positives,538,39,22,44,12,26,38,19,35,58,18,10,9,7,41,14,53,28,35,30
true_negatives,9735,502,519,497,527,515,503,522,506,483,523,531,530,534,500,525,488,513,506,511
false_positives,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
false_negatives,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
sensitivity,0.994,1.000,1.000,1.000,0.923,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.900,1.000,1.000,0.933,1.000,1.000,1.000,1.000
specificity,1.000,1.000,1.000,1.000,0.998,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.998,1.000,0.998,1.000,1.000
precision,0.995,1.000,1.000,1.000,0.923,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.933,1.000,0.966,1.000,1.000
negative_predictive_value,1.000,1.000,1.000,1.000,0.998,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.998,1.000,1.000,0.998,1.000,1.000,1.000,1.000
balanced_accuracy,0.997,1.000,1.000,1.000,0.961,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.950,1.000,1.000,0.966,1.000,0.999,1.000,1.000
f1,0.994,1.000,1.000,1.000,0.923,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.947,1.000,1.000,0.933,1.000,0.982,1.000,1.000
