0,0.510,0.563,0.500,0.500,0.500,0.519,0.500,0.573,0.498,0.500,0.500,0.415,0.513,0.500,0.500,0.497,0.534,0.500,0.500,0.500
10,0.525,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.646,0.500,0.500,0.500,0.500,0.500,0.500,0.599,0.500,0.500,0.500
20,0.769,0.701,0.608,0.937,0.687,0.845,0.718,0.644,0.887,0.925,0.817,0.500,0.500,0.500,0.790,0.500,0.780,0.823,0.628,0.817
30,0.897,0.948,0.770,0.999,0.731,0.849,0.916,0.809,0.983,0.990,0.910,0.550,0.649,0.500,0.960,0.633,0.947,0.823,0.978,0.865
40,0.937,0.999,0.794,0.989,0.808,0.878,0.969,0.973,0.998,0.992,0.912,0.847,0.650,0.643,0.988,0.667,0.997,0.904,0.979,0.899
50,0.963,1.000,0.884,1.000,0.922,0.903,0.983,0.974,1.000,0.998,0.943,0.897,0.750,0.856,0.990,0.863,1.000,0.994,0.942,0.916
60,0.970,1.000,0.931,1.000,0.882,0.923,0.997,0.947,1.000,0.996,0.970,0.900,0.799,0.856,0.994,0.832,1.000,0.993,0.998,0.917
70,0.979,1.000,0.975,1.000,0.922,0.999,0.998,0.974,1.000,0.999,0.971,0.900,0.899,0.856,0.995,0.833,1.000,0.996,0.998,0.917
80,0.980,0.999,0.999,1.000,0.921,0.999,0.999,0.974,1.000,0.998,0.971,0.900,0.850,0.857,0.995,0.867,1.000,0.996,0.998,0.917
90,0.987,1.000,0.999,1.000,0.962,0.999,1.000,0.974,1.000,0.998,0.971,0.900,0.950,0.856,0.998,0.900,0.999,0.998,0.998,0.967
100,0.988,1.000,0.999,1.000,0.922,1.000,1.000,0.974,1.000,0.998,0.970,0.900,0.899,0.856,0.999,0.966,1.000,0.998,1.000,0.983
110,0.991,0.999,0.999,1.000,0.922,0.999,1.000,0.974,0.999,0.999,0.971,0.950,0.950,0.929,0.999,0.967,1.000,0.999,1.000,0.983
120,0.995,1.000,1.000,1.000,1.000,0.999,0.999,0.974,1.000,1.000,1.000,0.950,0.949,0.929,1.000,0.967,1.000,0.998,1.000,1.000
130,0.994,1.000,1.000,1.000,0.998,1.000,1.000,0.974,1.000,0.999,0.971,0.949,0.950,0.929,1.000,0.967,1.000,0.999,1.000,1.000
140,0.996,1.000,1.000,1.000,1.000,0.999,1.000,0.974,1.000,1.000,1.000,0.950,0.950,0.929,1.000,1.000,0.999,0.998,1.000,1.000
150,0.995,0.999,1.000,1.000,0.962,0.999,0.999,0.974,1.000,1.000,0.972,1.000,0.950,0.929,1.000,0.999,1.000,0.999,1.000,1.000
160,0.998,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,1.000,0.950,0.929,1.000,1.000,1.000,0.999,1.000,1.000
170,0.999,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.972,0.999,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
180,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
190,0.999,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.950,1.000,1.000,1.000,1.000,1.000,1.000,1.000
200,0.997,1.000,1.000,1.000,0.961,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.950,1.000,1.000,0.966,1.000,0.999,1.000,1.000
