true_positives,244,45,44,46,34,43,32
true_negatives,1444,245,244,246,234,243,232
false_positives,56,15,9,7,5,13,7
false_negatives,56,5,6,4,16,7,18
sensitivity,0.813,0.900,0.880,0.920,0.680,0.860,0.640
specificity,0.963,0.942,0.964,0.972,0.979,0.949,0.971
precision,0.818,0.750,0.830,0.868,0.872,0.768,0.821
negative_predictive_value,0.963,0.980,0.976,0.984,0.936,0.972,0.928
balanced_accuracy,0.888,0.921,0.922,0.946,0.830,0.905,0.805
f1,0.810,0.818,0.854,0.893,0.764,0.811,0.719
