true_positives,419,39,14,40,13,25,21,14,29,55,18,5,9,5,27,7,22,26,27,23
true_negatives,9616,502,511,493,528,514,486,517,500,480,523,526,530,532,486,518,457,511,498,504
false_positives,122,1,10,7,7,3,10,4,14,1,2,0,4,6,19,6,13,5,5,5
false_negatives,122,0,8,4,0,1,17,5,6,3,0,5,1,2,14,8,31,2,8,7
sensitivity,0.774,1.000,0.636,0.909,1.000,0.962,0.553,0.737,0.829,0.948,1.000,0.500,0.900,0.714,0.659,0.467,0.415,0.929,0.771,0.767
specificity,0.986,0.998,0.981,0.986,0.987,0.994,0.980,0.992,0.973,0.998,0.996,1.000,0.993,0.989,0.962,0.989,0.972,0.990,0.990,0.990
precision,0.777,0.975,0.583,0.851,0.650,0.893,0.677,0.778,0.674,0.982,0.900,1.000,0.692,0.455,0.587,0.538,0.629,0.839,0.844,0.821
negative_predictive_value,0.983,1.000,0.985,0.992,1.000,0.998,0.966,0.990,0.988,0.994,1.000,0.991,0.998,0.996,0.972,0.985,0.936,0.996,0.984,0.986
balanced_accuracy,0.880,0.999,0.809,0.948,0.993,0.978,0.766,0.865,0.901,0.973,0.998,0.750,0.946,0.852,0.810,0.728,0.694,0.959,0.881,0.878
f1,0.769,0.987,0.609,0.879,0.788,0.926,0.609,0.757,0.744,0.965,0.947,0.667,0.783,0.556,0.621,0.500,0.500,0.881,0.806,0.793
