0,0.037,0.000,0.085,0.176,0.000,0.089,0.112,0.000,0.000,0.000,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.109
10,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.225,0.000,0.000,0.000,0.000,0.201,0.000,0.203,0.000,0.000,0.000
20,0.429,0.357,0.286,0.559,0.556,0.486,0.406,0.182,0.507,0.498,0.625,0.000,0.000,0.000,0.471,0.000,0.500,0.500,0.500,0.448
30,0.758,0.674,0.875,0.977,0.556,0.786,0.835,0.429,0.907,0.758,0.800,0.462,0.286,0.000,0.769,0.417,0.887,0.758,0.877,0.667
40,0.852,0.716,0.917,1.000,0.500,0.830,0.921,0.667,0.919,0.822,0.914,0.462,0.667,0.000,0.963,0.692,0.981,0.800,0.958,0.931
50,0.898,0.916,0.936,1.000,0.556,0.939,0.921,0.927,0.919,0.898,0.914,0.571,0.700,0.000,0.929,0.786,0.990,0.836,0.986,0.915
