0,0.511,0.500,0.531,0.559,0.500,0.535,0.520,0.495,0.500,0.500,0.500,0.500,0.514,0.492,0.500,0.498,0.500,0.500,0.500,0.528
10,0.530,0.500,0.500,0.486,0.500,0.500,0.500,0.500,0.500,0.622,0.500,0.500,0.500,0.500,0.601,0.500,0.607,0.500,0.500,0.500
20,0.706,0.621,0.589,0.711,0.692,0.818,0.667,0.552,0.728,0.903,0.774,0.500,0.500,0.500,0.795,0.500,0.700,0.721,0.682,0.702
30,0.880,0.854,0.972,0.988,0.692,0.915,0.926,0.655,0.980,0.907,0.833,0.650,0.598,0.500,0.912,0.663,0.937,0.934,0.951,0.765
40,0.927,0.859,0.996,1.000,0.690,0.918,0.958,0.787,0.981,0.939,0.943,0.650,0.798,0.500,0.975,0.798,0.990,0.954,0.984,0.949
50,0.951,0.981,0.997,1.000,0.692,0.942,0.958,0.997,0.981,0.950,0.943,0.700,0.847,0.500,0.972,0.865,0.991,0.990,0.986,0.948
