0,0.027,0.000,0.000,0.087,0.000,0.033,0.034,0.030,0.000,0.000,0.080,0.000,0.000,0.000,0.121,0.039,0.000,0.000,0.000,0.044
10,0.043,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.220,0.000,0.000,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000
20,0.475,0.831,0.389,0.812,0.471,0.508,0.444,0.375,0.525,0.648,0.538,0.000,0.000,0.000,0.337,0.000,0.310,0.633,0.312,0.409
30,0.765,0.821,0.884,0.967,0.700,0.816,0.868,0.632,0.794,0.872,0.645,0.000,0.000,0.000,0.812,0.118,0.813,0.824,0.857,0.778
40,0.858,0.853,0.977,1.000,0.667,0.920,0.921,0.683,0.928,0.899,0.800,0.667,0.000,0.727,0.930,0.333,0.860,0.875,0.946,0.929
50,0.927,0.951,0.955,1.000,0.700,0.920,0.987,0.714,0.955,0.959,0.971,0.947,0.333,0.727,0.953,0.846,0.945,0.933,0.972,0.967
