0,0.502,0.500,0.500,0.523,0.500,0.488,0.493,0.484,0.500,0.500,0.556,0.500,0.482,0.500,0.522,0.495,0.500,0.499,0.500,0.480
10,0.524,0.556,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.674,0.500,0.500,0.500,0.500,0.522,0.500,0.500,0.500,0.500,0.500
20,0.740,0.904,0.652,0.950,0.654,0.771,0.692,0.651,0.908,0.935,0.693,0.500,0.500,0.500,0.643,0.500,0.596,0.827,0.624,0.645
30,0.890,0.903,0.930,0.997,0.769,0.882,0.929,0.809,0.880,0.983,0.775,0.500,0.500,0.500,0.960,0.532,0.952,0.989,0.924,0.847
40,0.932,0.906,0.977,1.000,0.768,0.941,0.958,0.861,0.955,0.987,0.886,0.750,0.500,0.786,0.983,0.600,0.975,0.992,0.996,0.933
50,0.964,0.996,0.976,1.000,0.769,0.941,0.999,0.887,0.957,0.995,0.972,0.950,0.600,0.786,0.996,0.867,0.985,0.996,0.998,0.982
