true_positives,505,39,21,44,7,23,38,15,32,58,17,9,2,4,41,11,52,28,35,29
true_negatives,9702,502,518,497,522,512,503,518,503,483,522,530,523,531,500,522,487,513,506,510
false_positives,36,4,1,0,0,1,1,8,0,5,0,0,0,0,4,0,5,4,2,1
false_negatives,36,0,1,0,6,3,0,4,3,0,1,1,8,3,0,4,1,0,0,1
sensitivity,0.933,1.000,0.955,1.000,0.538,0.885,1.000,0.789,0.914,1.000,0.944,0.900,0.200,0.571,1.000,0.733,0.981,1.000,1.000,0.967
specificity,0.995,0.992,0.998,1.000,1.000,0.998,0.998,0.985,1.000,0.990,1.000,1.000,1.000,1.000,0.992,1.000,0.990,0.992,0.996,0.998
precision,0.940,0.907,0.955,1.000,1.000,0.958,0.974,0.652,1.000,0.921,1.000,1.000,1.000,1.000,0.911,1.000,0.912,0.875,0.946,0.967
negative_predictive_value,0.998,1.000,0.998,1.000,0.989,0.994,1.000,0.992,0.994,1.000,0.998,0.998,0.985,0.994,1.000,0.992,0.998,1.000,1.000,0.998
balanced_accuracy,0.964,0.996,0.976,1.000,0.769,0.941,0.999,0.887,0.957,0.995,0.972,0.950,0.600,0.786,0.996,0.867,0.985,0.996,0.998,0.982
f1,0.927,0.951,0.955,1.000,0.700,0.920,0.987,0.714,0.955,0.959,0.971,0.947,0.333,0.727,0.953,0.846,0.945,0.933,0.972,0.967
