true_positives,269,50,47,37,50,35,50
true_negatives,1469,250,247,237,250,235,250
false_positives,31,9,9,2,1,4,6
false_negatives,31,0,3,13,0,15,0
sensitivity,0.897,1.000,0.940,0.740,1.000,0.700,1.000
specificity,0.980,0.965,0.965,0.992,0.996,0.983,0.977
precision,0.901,0.847,0.839,0.949,0.980,0.897,0.893
negative_predictive_value,0.979,1.000,0.988,0.948,1.000,0.940,1.000
balanced_accuracy,0.938,0.983,0.952,0.866,0.998,0.842,0.988
f1,0.893,0.917,0.887,0.831,0.990,0.787,0.943
