true_positives,412,39,14,40,13,25,19,13,27,55,18,5,9,7,24,7,20,25,29,23
true_negatives,9609,502,511,493,528,514,484,516,498,480,523,526,530,534,483,518,455,510,500,504
false_positives,129,2,9,7,7,4,11,3,13,0,2,1,6,4,21,9,16,5,5,4
false_negatives,129,0,8,4,0,1,19,6,8,3,0,5,1,0,17,8,33,3,6,7
sensitivity,0.762,1.000,0.636,0.909,1.000,0.962,0.500,0.684,0.771,0.948,1.000,0.500,0.900,1.000,0.585,0.467,0.377,0.893,0.829,0.767
specificity,0.985,0.996,0.983,0.986,0.987,0.992,0.978,0.994,0.975,1.000,0.996,0.998,0.989,0.993,0.958,0.983,0.966,0.990,0.990,0.992
precision,0.761,0.951,0.609,0.851,0.650,0.862,0.633,0.812,0.675,1.000,0.900,0.833,0.600,0.636,0.533,0.438,0.556,0.833,0.853,0.852
negative_predictive_value,0.982,1.000,0.985,0.992,1.000,0.998,0.962,0.989,0.984,0.994,1.000,0.991,0.998,1.000,0.966,0.985,0.932,0.994,0.988,0.986
balanced_accuracy,0.873,0.998,0.810,0.948,0.993,0.977,0.739,0.839,0.873,0.974,0.998,0.749,0.944,0.996,0.772,0.725,0.672,0.942,0.909,0.879
f1,0.755,0.975,0.622,0.879,0.788,0.909,0.559,0.743,0.720,0.973,0.947,0.625,0.720,0.778,0.558,0.452,0.449,0.862,0.841,0.807
