true_positives,414,39,13,40,13,25,19,15,28,55,18,5,9,5,25,7,21,24,29,24
true_negatives,9611,502,510,493,528,514,484,518,499,480,523,526,530,532,484,518,456,509,500,505
false_positives,127,0,9,8,7,3,11,5,11,0,1,4,1,4,22,9,17,5,5,5
false_negatives,127,0,9,4,0,1,19,4,7,3,0,5,1,2,16,8,32,4,6,6
sensitivity,0.765,1.000,0.591,0.909,1.000,0.962,0.500,0.789,0.800,0.948,1.000,0.500,0.900,0.714,0.610,0.467,0.396,0.857,0.829,0.800
specificity,0.985,1.000,0.983,0.984,0.987,0.994,0.978,0.990,0.978,1.000,0.998,0.992,0.998,0.993,0.957,0.983,0.964,0.990,0.990,0.990
precision,0.763,1.000,0.591,0.833,0.650,0.893,0.633,0.750,0.718,1.000,0.947,0.556,0.900,0.556,0.532,0.438,0.553,0.828,0.853,0.828
negative_predictive_value,0.983,1.000,0.983,0.992,1.000,0.998,0.962,0.992,0.986,0.994,1.000,0.991,0.998,0.996,0.968,0.985,0.934,0.992,0.988,0.988
balanced_accuracy,0.875,1.000,0.787,0.947,0.993,0.978,0.739,0.890,0.889,0.974,0.999,0.746,0.949,0.853,0.783,0.725,0.680,0.924,0.909,0.895
f1,0.761,1.000,0.591,0.870,0.788,0.926,0.559,0.769,0.757,0.973,0.973,0.526,0.900,0.625,0.568,0.452,0.462,0.842,0.841,0.814
