true_positives,416,39,15,40,13,25,19,14,28,55,18,6,10,3,29,7,20,25,27,23
true_negatives,9613,502,512,493,528,514,484,517,499,480,523,527,531,530,488,518,455,510,498,504
false_positives,125,1,6,6,6,3,11,4,15,0,2,0,5,7,22,9,15,5,5,3
false_negatives,125,0,7,4,0,1,19,5,7,3,0,4,0,4,12,8,33,3,8,7
sensitivity,0.769,1.000,0.682,0.909,1.000,0.962,0.500,0.737,0.800,0.948,1.000,0.600,1.000,0.429,0.707,0.467,0.377,0.893,0.771,0.767
specificity,0.985,0.998,0.988,0.988,0.989,0.994,0.978,0.992,0.971,1.000,0.996,1.000,0.991,0.987,0.957,0.983,0.968,0.990,0.990,0.994
precision,0.773,0.975,0.714,0.870,0.684,0.893,0.633,0.778,0.651,1.000,0.900,1.000,0.667,0.300,0.569,0.438,0.571,0.833,0.844,0.885
negative_predictive_value,0.983,1.000,0.987,0.992,1.000,0.998,0.962,0.990,0.986,0.994,1.000,0.992,1.000,0.993,0.976,0.985,0.932,0.994,0.984,0.986
balanced_accuracy,0.877,0.999,0.835,0.949,0.994,0.978,0.739,0.865,0.885,0.974,0.998,0.800,0.995,0.708,0.832,0.725,0.673,0.942,0.881,0.880
f1,0.764,0.987,0.698,0.889,0.812,0.926,0.559,0.757,0.718,0.973,0.947,0.750,0.800,0.353,0.630,0.452,0.455,0.862,0.806,0.821
